0.4113438,0.28706098,0.45618537
0.39630342,0.32526377,0.42391405
0.4486734,0.21150021,0.38297585
0.30836803,0.22661261,0.35648242
0.27316642,0.14897065,0.5080974
0.4202266,0.15163559,0.43830422
0.43029502,0.23159032,0.47005406
0.59184736,0.33781937,0.5189208
0.36225152,0.14605546,0.3616708
0.3412721,0.34314528,0.23659372
0.24898095,0.29736713,0.43303233
0.36160743,0.11621232,0.38905528
0.2595002,0.37424287,0.3778129
0.49703583,0.1842445,0.27645597
0.27531794,0.2972693,0.28396204
0.3803607,0.19785032,0.4270267
0.53900605,0.35217398,0.50997627
0.3030856,0.16718481,0.31805676
0.29065013,0.07464291,0.46345538
